License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Zip Code,Square Footage,Retail_Address
628987,Store,JAC,94 ST NICHOLAS DELI INC,94 ST NICHOLAS DELI,94,ST NICHOLAS PLACE,10032,1500,94 ST NICHOLAS PLACE
628485,Store,A,967 1ST AVENUE NEWS CORP,967 1ST AVENUE NEWS,967,1ST AVE,10022,0,967 1ST AVE
727217,Store,JAC,96 DELI CORP,96 DELI,214,WEST 96TH STREET,10025,0,214 WEST 96TH STREET
725306,Store,A,97 TOBACCO SHOP INC,97TOBACCO SHOP,2578,BROADWAY,10025,300,2578 BROADWAY
626142,Store,A,99 CENTS CLASS INC,99 CENT CLASS,4520,BROADWAY,10040,2000,4520 BROADWAY
625206,Store,A,LUCKY DOLLAR INC,99 CENT EXPRESS,2065,AMSTERDAM AVE,10032,3000,2065 AMSTERDAM AVE
628295,Store,A,99 CENT MINI DEPOT INC,99 CENT MINI DEPOT,2487,7TH AVE,10030,2000,2487 7TH AVE
627132,Store,A,1967 99 CENTS & DISCOUNT INC,99 CENTS & DISCOUNT,1967,AMSTERDAM,10032,2500,1967 AMSTERDAM
628584,Store,A,AI&M DISCOUNT INC,99 CENTS FABULOUS,2084,7TH AVE,10027,1100,2084 7TH AVE
626769,Store,A,DOLLAR MAGIC LLC,99 CENTS RUSH,2050,LEXINGTON AVE,10035,3000,2050 LEXINGTON AVE
628323,Store,A,BIG EMPIRE INC,99 CENTS & UP NYC,921,COLUMBUS AVE,10025,2800,921 COLUMBUS AVE
710143,Store,A,NYC LUCKY DISCOUNT INC,99 CENTS WONDER,110,W 145TH ST,10039,7500,110 W 145TH ST
625200,Store,A,DYCKMAN DEALS INC,99 CENT USA,116A,DYCKMAN ST,10040,6000,116A DYCKMAN ST
628495,Store,A,99 CENT WORLD & VARIETY CORP,99 CENT WORLD & VARIETY,4242,BROADWAY,10033,2500,4242 BROADWAY
733528,Store,A,GOHAR ALI,99C STAR DISCOUNT,1929,THIRD AVENUE,10029,0,1929 THIRD AVENUE
734406,Store,JAC,9 ONE 4 LLC,9 ONE 4,1748,2ND AVENUE,10128,2000,1748 2ND AVENUE
725963,Store,JAC,9TH AVE GOURMET DELI INC,9TH AVE GOURMET DELI,769,9TH AVE,10019,3000,769 9TH AVE
709345,Store,JAC,S MARKET AND GROCERY INC,9TH AVENUE GROCERY,350,9TH AVE,10001,500,350 9TH AVE
622247,Store,JAC,9TH AVENUE ROYAL DELI INC,9TH AVENUE ROYAL DELI,817,9TH AVE,10019,2800,817 9TH AVE
627646,Store,A,NASSER MUSLEH,9TH AVE SMOKE SHOP,677,9TH AVE,10036,500,677 9TH AVE
623150,Store,JAC,A&A DELI GROCERY INC,A&A DELI GROCERY,203,7TH AVE,10011,1800,203 7TH AVE
725281,Store,A,ABC MART NC,ABC MART,3505,BROADWAY,10031,2000,3505 BROADWAY
629042,Store,JAC,ABDOU KINGS DELI INC,ABDOU KINGS DELI,2407,8TH AVE,10027,700,2407 8TH AVE
714170,Store,JAC,ABDUR SAMI DELI GRO&HALAL MT INC,ABDUR SAMI DELI GRO&HAL,2262,2ND AVE,10035,800,2262 2ND AVE
711000,Store,JAC,A&B GOURMET DELI INC,A&B GOURMET DELI,1980,2ND AVE,10029,2000,1980 2ND AVE
625203,Store,A,ABHI & FATHER INC,ABHI & FATHER MARKET,50,LEXINGTON AVE,10010,250,50 LEXINGTON AVE
625141,Store,JAC,ONE ABINGDON SQUARE ENTERP INC,ABINGDON MARKET,1,ABINGDON SQ,10014,3000,1 ABINGDON SQ
728209,Store,JAC,A & B NEW DELI GROCERY CORP,A & B NEW DELI GROCERY,330,AUDUBON AVENUE,10033,0,330 AUDUBON AVENUE
622904,Store,JAC,ABYSSINIA GROCERY INC,ABYSSINIA GROCERY,100,ST NICHOLAS AVE STORE #5,10026,1200,100 ST NICHOLAS AVE
717808,Store,JAC,ACAPULCO DELI GROCERY & TACOS COR,ACAPULCO DELI GROCERY &,192-206,DYCKMAN ST,10040,0,192 206 DYCKMAN ST
712758,Store,JAC,A & C DELI AND GROCERY LLC,A & C DELI AND GROCERY,322,EAST 126 ST,10035,350,322 EAST 126 ST
624600,Store,JAC,ONE EAST ACE DELI CORP,ACE DELI,1,E 28TH ST,10016,2000,1 E 28TH ST
728604,Store,JAC,ASIANA MANAGEMENT GROUP INC,ACE SUSHI,766,SIXTH AVE,10001,0,766 SIXTH AVE
728582,Store,JAC,ASIANA MANAGEMENT GROUP INC,ACE SUSHI,550,SECOND AVE,10016,0,550 SECOND AVE
728601,Store,JAC,ASIANA MANAGEMENT GROUP INC,ACE SUSHI,2127,BROADWAY,10023,200,2127 BROADWAY
728587,Store,JAC,ASIANA MANAGEMENT GROUP INC,ACE SUSHI,2328,12TH AVE,10027,300,2328 12TH AVE
728578,Store,JAC,ASIANA MANAGEMENT GROUP INC,ACE SUSHI (FAIRWAY),240,E 86TH ST (FAIRWAY),10028,80,240 E 86TH ST
719293,Store,JAC,ADAM 1 FOOD CENTER INC,ADAM 1 FOOD CENTER,2657,FREDERICK DOUGLAS BLVD,10030,1200,2657 FREDERICK DOUGLAS BLVD
714729,Store,A,ADAM 99 CENTS & UP INC,ADAM 99 CENTS & UP,760,10TH AVENUE,10019,500,760 10TH AVENUE
629501,Store,JAC,ADAMS DELI & CONVENIENCE INC,ADAMS DELI & CONVENIENC,418,E 14TH ST,10009,1000,418 E 14TH ST
725415,Store,JAC,197 8TH AVE DELI CORP,ADAM'S MARKETPLACE 12/,197,8TH AVENUE,10011,0,197 8TH AVENUE
715823,Store,JAC,ADEN EXPRESS DELI INC,ADEN 1 DELI,3579A,BROADWAY,10031,1800,3579A BROADWAY
714589,Store,JAC,ADJA KHADY FOOD DISTRIBUTORS INC,ADJA KHADY FOOD DISTRIB,251,W 116 ST,10026,1500,251 W 116 ST
629109,Store,JAC,ADNADER INC,ADNADER INC,218,ST NICHOLAS AVE,10027,1600,218 ST NICHOLAS AVE
622902,Store,A,ROCHELL ZABARKES,ADRIAWAS CARAVAN,321,GRAND CENTRAL TERM,10017,238,321 GRAND
714408,Store,JAC,AF AFRICAN MARKET & HALAL MEAT IN,AF AFRICAN MARKET & HAL,223,WEST 145TH ST,10039,500,223 WEST 145TH ST
717895,Store,JAC,ADVANCED FRESH CONCEPTS FRANCHISE,AFC SUSHI @ DUANE READE,1657,BROADWAY,10019,0,1657 BROADWAY
717908,Store,JAC,ADVANCED FRESH CONCEPTS FRANCHISE,AFC SUSHI @ DUANE READE,1430,BROADWAY FRONT 1,10018,200,1430 BROADWAY
717879,Store,JAC,ADVANCED FRESH CONCEPTS FRANCHISE,AFC SUSHI @ DUANE READE,1251,AVENUE OF THE AMERICAS,10020,300,1251 AVENUE
717523,Store,JAC,ADVANCED FRESH CONCEPTS FRANCHISE,AFC SUSHI @ DUANE READE,40,WALL ST,10005,500,40 WALL ST
707872,Store,JAC,ADVANCED FRESH CONCEPTS FRANCHISE,AFC SUSHI@WALGREENS #61,145,4TH AVE,10003,500,145 4TH AVE
